"SKU PADRE","SKU HIJO",Producto,Existencias,Activo
00473-UNI,U00473AUNIUNI,"Paquete de 3 Gorros en Algodón Hipoalergénico",80,1
00599_TE1,T00599ATE12A,"Calzón Entrenador en Algodón Hipoalergénico Color Jaspe",2581,1
00599_TE1,T00599ATE13A,"Calzón Entrenador en Algodón Hipoalergénico Color Jaspe",1945,1
00599_TE1,T00599ATE13X,"Calzón Entrenador en Algodón Hipoalergénico Color Jaspe",1647,1
00599_TE2,T00599ATE22A,"Calzón Entrenador en Algodón Hipoalergénico Color Azul ",2378,1
00599_TE2,T00599ATE23A,"Calzón Entrenador en Algodón Hipoalergénico Color Azul ",2218,1
00599_TE2,T00599ATE23X,"Calzón Entrenador en Algodón Hipoalergénico Color Azul ",1350,1
00606-AZU,U00606CAZU3X,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Larga y Pantalón",69,1
00606-AZU,U00606DAZU4A,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Larga y Pantalón",565,1
00606-AZU,U00606DAZU6A,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Larga y Pantalón",524,1
00606-AZU,U00606DAZU8A,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Larga y Pantalón",752,1
00606-AZU,U00606EAZU10A,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Larga y Pantalón",563,1
00606-AZU,U00606EAZU12A,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Larga y Pantalón",703,1
00606-BCO,U00606DBCO8A,"Pijama niña cardigan belgica 606b Baby Creysi",69,1
00606-BCO,U00606EBCO10A,"Pijama niña cardigan belgica 606b Baby Creysi",939,1
00606-BCO,U00606EBCO12A,"Pijama niña cardigan belgica 606b Baby Creysi",871,1
00606-BCO,U00606FBCO6A,"Pijama niña cardigan belgica 606b Baby Creysi",81,1
00606-RAY,U00606DRAY4A,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Larga y Pantalón",1497,1
00606-RAY,U00606DRAY6A,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Larga y Pantalón",475,1
00606-RAY,U00606DRAY8A,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Larga y Pantalón",1461,1
00606-RAY,U00606ERAY12A,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Larga y Pantalón",240,1
00814-DCX,T00814EDCX00,"Mallas en Algodón Hipoalergénico Bordado Jacquard",240,1
00814-DCX,T00814FDCX113,"Mallas en Algodón Hipoalergénico Bordado Jacquard",443,1
00814-DCX,T00814FDCX4A6,"Mallas en Algodón Hipoalergénico Bordado Jacquard",436,1
00814-DCX,T00814FDCX7A9,"Mallas en Algodón Hipoalergénico Bordado Jacquard",797,1
00880-NA1,U00880ANA1113,"Paquete de 2 Pares de Tines Deportivos sin Costuras en Algodón Hipoalergénico ",56,1
00880-NA1,U00880ANA14A6,"Paquete de 2 Pares de Tines Deportivos sin Costuras en Algodón Hipoalergénico ",365,1
00880-NA1,U00880ANA17A9,"Paquete de 2 Pares de Tines Deportivos sin Costuras en Algodón Hipoalergénico ",217,1
00880-NO1,U00880ANO1113,"Paquete de 2 Pares de Tines Deportivos sin Costuras en Algodón Hipoalergénico ",77,1
00880-NO1,U00880ANO14A6,"Paquete de 2 Pares de Tines Deportivos sin Costuras en Algodón Hipoalergénico ",53,1
00880-NO1,U00880ANO17A9,"Paquete de 2 Pares de Tines Deportivos sin Costuras en Algodón Hipoalergénico ",8,1
01422-AC3,U01422CAC310A,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Corta y Bermuda  ",64,1
01422-AC3,U01422CAC312A,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Corta y Bermuda  ",65,1
01422-AC3,U01422CAC314A,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Corta y Bermuda  ",66,1
01422-AC3,U01422CAC34A,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Corta y Bermuda  ",131,1
01422-AC3,U01422CAC36A,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Corta y Bermuda  ",134,1
01422-AC3,U01422CAC38A,"Pijama de 2 Piezas en Algodón Hipoalergénico, Playera Manga Corta y Bermuda  ",133,1
